Date,Close,Return,RealizedVol,VIX,HY_OAS,GPR,CESI,PMI_change,PutCall,HHI,MeanCorr,f_bur,f_cat,f_sent,f_mac,f_liq,C_norm
2019-07-22,2985.030029,0.0028247,0.07560607,13.52999973,4.06,193.0157471,-42.1,-1.1,0.71,0.1091442,0.32125117,-0.99612294,0.86682558,0.59207144,-0.75484859,-0.50738749,0.34663744
2019-07-23,3005.469971,0.00682415,0.07837761,12.60999966,3.99,139.2671204,-44.9,-1.1,0.61,0.10919179,0.32347784,-0.99603147,0.45226648,-0.05275044,-0.78211717,-0.52631044,0.34896777
2019-07-24,3019.560059,0.00467719,0.07882936,12.06999969,3.98,99.51920319,-50.3,-1.1,0.66,0.10913811,0.3405948,-0.99608119,-0.1273864,0.30408794,-0.82731225,-0.5289294,0.36688158
2019-07-25,3003.669922,-0.0052763,0.07265938,12.73999977,3.93,74.43972778,-40.6,-1.1,0.68,0.10920408,0.3030839,-0.99596283,-0.47500371,0.43067405,-0.73863234,-0.54206913,0.32762441
2019-07-26,3025.860107,0.00736054,0.07481869,12.15999985,3.89,137.6536255,-37.2,-1.1,0.6,0.10912271,0.34152432,-0.9960523,0.43224715,-0.12564774,-0.69934207,-0.55238243,0.36785437
2019-07-29,3020.969971,-0.00161742,0.0753373,12.82999992,3.93,137.61409,-37.4,-1.1,0.71,0.10922545,0.3317267,-0.99588021,0.43171829,0.59208957,-0.70168284,-0.54196331,0.35760065
2019-07-30,3013.179932,-0.00258199,0.07500383,13.93999958,3.97,152.3584595,-33.4,-1.1,0.73,0.10909482,0.31773972,-0.99604094,0.59821954,0.67916124,-0.64973938,-0.53137631,0.34296252
2019-07-31,2980.379883,-0.01094521,0.08201673,16.12000084,3.93,89.65638733,-33.8,-0.5,0.62,0.10900048,0.29674505,-0.99614586,-0.27386105,0.02018491,-0.65514299,-0.54186259,0.32099047
2019-08-01,2953.560059,-0.00903953,0.08740857,17.87000084,4.1,107.7257767,-35,-0.5,0.75,0.10903578,0.36666705,-0.99607233,-0.00107774,0.75058155,-0.67112076,-0.4958747,0.39416759
2019-08-02,2932.050049,-0.00730939,0.08558895,17.61000061,4.19,110.9880905,-35.1,-0.5,0.87,0.10909743,0.30683735,-0.99596037,0.04942593,0.95219849,-0.67234311,-0.47030312,0.3315526
