Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t
2023-06-16,0.11516322,0.11858774515821703,0.248633967157194,0.3795619041897986,0.10150214014042579,0.31690161497694325
2023-06-20,0.11535601,0.10293865837079871,0.20543517855565285,0.39919310955157916,0.10414988874960897,0.3053894260881018
2023-06-21,0.11757374,0.10334867937148677,0.20911298281668111,0.3927319302416383,0.101089916057507,0.2671569598612984
2023-06-22,0.11754007,0.06518590167628367,0.14180268042631017,0.31850421989490363,0.034722842975844236,0.2687641530261024
2023-06-23,0.11294841,0.11660310629320711,0.20744173727322124,0.466917780640754,0.051131083852125905,0.33762405923278554
2023-06-26,0.11029145,0.1814178887131268,0.34264083800358447,0.4420712125021789,0.18493171740634676,0.32798697817771555
2023-06-27,0.11258152,0.11735010014594319,0.28473041752022976,0.28779479958031867,0.2528012421789797,0.3474475893112455
2023-06-28,0.10631687,0.09865845272306335,0.24757721285422402,0.27572098245633553,0.21790275429072986,0.33652693689154584
2023-06-29,0.10643897,0.09345285746639362,0.22514105965924625,0.29925914477787496,0.17957137132272621,0.33823936127259746
2023-06-30,0.10748168,0.04567782006305665,0.13256542905156343,0.19249057443800177,0.09306109514830975,0.327171503075065
2023-07-03,0.10470508,0.031355543198625636,0.10036435715030831,0.13757732894647495,0.07694460194426408,0.29679535265607576
2023-07-05,0.0963923,0.13516636616549899,0.22577645492603315,0.5152559372104274,0.08422306746806812,0.43138936620268226
2023-07-06,0.1014185,0.11234082466626921,0.20299028406296257,0.4553439615018878,0.03787560725709058,0.4630674224990611
2023-07-07,0.10248041,0.21691202803931864,0.3928852848239268,0.4615247273726842,0.04895982530097251,0.35298783139438944
2023-07-10,0.10084629,0.18004327050619523,0.3228613644594122,0.4832624548904558,0.07092415723163575,0.31717865547254454
2023-07-11,0.10118059,0.11416027454504744,0.24511497922081837,0.3651188240683266,0.0653394590551417,0.31868281373202656
2023-07-12,0.10312839,0.06806334351379029,0.18057227019401628,0.24648253212187407,0.06514254674485528,0.2921676606879692
2023-07-13,0.10240505,0.17539231698174304,0.3090284453009773,0.4967916866342361,0.13676640417462455,0.2732329721302444
2023-07-14,0.10113908,0.18109119808083454,0.35988607755141083,0.399912939842181,0.15982802859720185,0.2800693925824811
2023-07-17,0.10143951,0.11899530945411212,0.31522922201600456,0.22399424887569602,0.1789979343844554,0.29251013762784783
2023-07-18,0.09625816,0.07911834616306407,0.24056076098464976,0.17660982956366533,0.1803414935751955,0.37694274431799707
2023-07-19,0.09452491,0.13178754910598453,0.28408788215803016,0.3610349201052577,0.21309474145706797,0.38404299082540244
2023-07-20,0.09650235,0.2030015399589295,0.3627930675860692,0.4800297025615062,0.23540356888512595,0.4491026537376145
2023-07-21,0.09342024,0.12245433601264284,0.25602178802900666,0.3816045322404128,0.1814013999327382,0.5416827605073764
2023-07-24,0.09350845,0.05816668577702754,0.14843619410159734,0.2526369488795999,0.11348904785042808,0.5249205552727789
2023-07-25,0.0868637,0.0523745716374448,0.1335620123896175,0.24403775117084875,0.0405592324815118,0.6436332844313487
2023-07-26,0.08380545,0.10382750508380657,0.23489696701637064,0.33431272101637727,-0.0034896156298214603,0.6168814715254014
2023-07-27,0.08286321,0.1232523878427576,0.23949459020791075,0.42471825772579974,-0.054829238080413845,0.6770416479356636
2023-07-28,0.08708602,0.10519980293153379,0.23039923047235206,0.3524215421585577,-0.04559945448297892,0.5588153522040671
2023-07-31,0.08671531,0.10655691314971459,0.20648850667182142,0.4163520805976927,0.04815429502390642,0.5403431475696968
2023-08-01,0.07979654,0.1632344450118286,0.30933224553248756,0.4445593866115255,0.07092266618733668,0.6306571339911685
2023-08-02,0.0957494,0.08012353858657467,0.17805381024087608,0.33086584781687867,0.10539547818927125,0.5985018564830311
2023-08-03,0.09596786,0.06170868699015474,0.1335251659597471,0.31361696708384024,0.050435841239087,0.49214783764085296
2023-08-04,0.09340943,0.0655470347734994,0.1268431099020647,0.3564193605187695,0.06737718748144154,0.5640342709466056
2023-08-07,0.09665183,0.025687393460346444,0.060773883687882835,0.1708652348301791,0.04902994297019764,0.5200318164302083
2023-08-08,0.09839136,0.027156622414885385,0.049418473875965846,0.21402169280371586,0.0327653398903994,0.4592303406853249
2023-08-09,0.09980108,0.017435003411048523,0.031840999928666576,0.1373067425356183,0.006516714395560452,0.5121900408986255
2023-08-10,0.0964273,0.016241581284628333,0.02750539486685931,0.13087671425077266,0.0029503956641028523,0.5417552231232996
2023-08-11,0.09139795,0.03406509054764366,0.06766767111925744,0.24185641286567744,-0.0038795077405893164,0.5596504757677908
2023-08-14,0.09386344,0.09804102421344779,0.16180672728166376,0.47528899431661187,-0.0026352921472449498,0.522002384448454
2023-08-15,0.1005795,0.05953731393204114,0.11534878789209807,0.3409921479738319,-0.028940988141266062,0.5148407243843701
2023-08-16,0.09871236,0.03242510214609487,0.08168873645180799,0.1925346615009575,-0.014188103487732813,0.3848120234064577
2023-08-17,0.09980429,0.04085776633074919,0.09287429153867635,0.2450634547352783,0.012331901159232099,0.3737181118451467
2023-08-18,0.09850686,0.029905211001198903,0.0736622766295464,0.18590177958728135,0.009202835116381258,0.2816291940150286
2023-08-21,0.10276022,0.03675772848110888,0.0889726112260456,0.21706175126458302,0.026280539090142094,0.26822718385367655
2023-08-22,0.10087313,0.05656127705332872,0.11860530392933594,0.311344255654109,-0.018904957081158358,0.3009316567826092
2023-08-23,0.10919072,0.10383286076450154,0.2019518011303777,0.41232846655006195,0.05540229126067381,0.2860828834783795
2023-08-24,0.11686954,0.09512753687358297,0.20897114715446607,0.3471403547278799,0.10274903505773392,0.23400593161453787
2023-08-25,0.11944868,0.07831874979349478,0.1959291596609243,0.2772253812245093,0.12486839927312413,0.22305406755257784
2023-08-28,0.11579133,0.21678660948359862,0.36778815801329384,0.5204662209647654,0.22450983638479832,0.20176232260191274
2023-08-29,0.12809054,0.1843613925866595,0.32417265979236753,0.49777017663120926,0.18374345222706956,0.17152935157999202
2023-08-30,0.12896994,0.15679810604144748,0.31238952662129893,0.4092459584332126,0.08307946957665766,0.13296814441341281
2023-08-31,0.11970142,0.3609934855277863,0.5098526386588613,0.6514070819943228,-0.04189689336792782,0.1276102276135565
2023-09-01,0.11950905,0.2669338463688408,0.4509010180790135,0.5006170436005124,0.16849493253309125,0.12106955998435646
2023-09-05,0.11892989,0.368019243955917,0.5866568928015596,0.48961463986728576,0.32162433496508497,0.1364527441549562
2023-09-06,0.11692415,0.2555703524562125,0.49888544892597686,0.34856605470770113,0.4012658116988562,0.15319138313212247
2023-09-07,0.11657677,0.14212205377018933,0.3611132176471494,0.2275712236139255,0.3087548795719786,0.13902790610735524
2023-09-08,0.11425256,0.11795611557996276,0.29956129727553393,0.25578708261667027,0.09211944611317223,0.14437354400939456
2023-09-11,0.11666787,0.1618158368540153,0.33478644619142683,0.37816691217838416,-0.011072002223104144,0.14901142891021943
2023-09-12,0.11839902,0.1449927521454476,0.3076183842682083,0.367447484754272,0.07935953344458069,0.15478901765642628
2023-09-13,0.11665653,0.3060939221709277,0.4849768325483349,0.5463939228306334,0.142277118181344,0.1675295216740025
2023-09-14,0.11258357,0.2792953585366452,0.49290803794198595,0.4420716587136121,0.2908178359727786,0.2563072292068253
2023-09-15,0.11792865,0.145124279542496,0.35764744065573745,0.2496242335710045,0.280710202105747,0.22236857847831387
2023-09-18,0.11406071,0.11897918451534355,0.29815648429527514,0.26432618592845697,0.22606033546561002,0.18153940667189641
2023-09-19,0.11450296,0.10098303489029094,0.2552474245176451,0.2705086507397446,0.1624288568351145,0.18473452423892656
2023-09-20,0.11752227,0.25222781887616585,0.4179274067875158,0.5287249890919805,0.057694818881970644,0.1629541735808634
2023-09-21,0.130596,0.35276244689908676,0.5232457789869005,0.5959958571064624,-0.0890708906030303,0.15683456207911253
2023-09-22,0.12363374,0.22547155193110477,0.42181183219128116,0.42462962003611915,-0.07517903787817495,0.10409284280092003
2023-09-25,0.11639756,0.13225924474678144,0.32979085862579033,0.2551213628767252,0.17513644395008848,0.11865381503032683
2023-09-26,0.12349478,0.0910242870818599,0.2907870635515632,0.12977679192165992,0.24193000311598617,0.1300945309717817
2023-09-27,0.12049314,0.11031627638593006,0.2747616037079239,0.2747950156058931,0.12873146337988653,0.10566876108792293
2023-09-28,0.10919008,0.09692135991554875,0.2470994160173326,0.2670757502372198,0.015537051399963475,0.15726721352284037
2023-09-29,0.10701399,0.09793268147381558,0.23285336286712252,0.30650103560871506,0.04620052661224491,0.1681367992056668
2023-10-02,0.10734042,0.09470912959008676,0.22082813203432122,0.3166816125933024,0.1301808252218904,0.1694441067437219
2023-10-03,0.11319052,0.10510379763338842,0.22874254565514884,0.35582279252991855,0.17420644625169585,0.17285791188062927
2023-10-04,0.11952534,0.0707199818959244,0.18850588887417555,0.24555865057664428,0.14898663219020927,0.16081494765558485
2023-10-05,0.11846989,0.059459951024771265,0.17528191129252704,0.1985577362999723,0.169869887858245,0.16835074054767105
2023-10-06,0.12791467,0.18483854577796674,0.3137498164989405,0.5243756766780416,0.1423265585561576,0.1938126459463307
2023-10-09,0.13042182,0.23194355192934626,0.4282358744267819,0.4328902394029214,0.19240681663710532,0.1759884944478041
2023-10-10,0.12935455,0.34653299375077684,0.6421560024078322,0.2963828356548444,0.46492363384941815,0.15763574011698853
2023-10-11,0.12978146,0.32264146347862654,0.5717893753615153,0.39179233790338097,0.24939471059167392,0.1269929800178386
2023-10-12,0.1308112,0.24711557870574385,0.48119993317793236,0.36123445893660855,0.053068700007351255,0.13038575542043523
2023-10-13,0.12650628,0.2674558746638802,0.49053693300084067,0.4085388865008632,0.00014855859602161403,0.15695043146197046
2023-10-16,0.12768523,0.2634901693440465,0.48168460696798654,0.41618191401786275,0.06783877523686799,0.19548289537078378
2023-10-17,0.12759152,0.2351213154838872,0.45107152264357436,0.390233058901173,0.14700797825422757,0.1576987590242913
2023-10-18,0.13486851,0.2715111286075192,0.5173941125583276,0.3584708537357826,0.27905800125000346,0.16161303509319744
2023-10-19,0.13421406,0.3224943285780939,0.5720586293695602,0.39070843632895536,0.3132568077012364,0.1634769216453703
2023-10-20,0.12927793,0.33950919599397383,0.5697536739926038,0.4471217372786634,0.09158277959248337,0.1989339548926695
2023-10-23,0.12922855,0.30090350308120906,0.5389695112910363,0.4023275856961992,-0.19517881905944975,0.18398540138004071
2023-10-24,0.13131806,0.4137810992049633,0.6406019669409965,0.4877117272827246,0.21584316569934867,0.18885926725105032
2023-10-25,0.13079187,0.33110410147368763,0.5788048411347151,0.40069350049169816,0.28570720263,0.21084897033438527
2023-10-26,0.1360299,0.32647745433729297,0.5762513788643149,0.392834786059747,0.3102508238171396,0.22052056296971898
2023-10-27,0.13369239,0.30893325165507557,0.5624896067635209,0.37174143260024983,0.3245410232221019,0.24787935933404553
2023-10-30,0.1421611,0.326480867411448,0.5793003940898473,0.3856275687318395,0.350319736857716,0.25431323037729964
2023-10-31,0.14467051,0.32038600489191826,0.5546355832274207,0.42554151562157444,0.23794732513745867,0.19892208651762858
2023-11-01,0.14208686,0.283616822525175,0.5190200399700051,0.39433412964403325,-0.060179756790838895,0.18677004251079493
2023-11-02,0.15385693,0.2523172986464065,0.5110011771698733,0.3087127438676516,-0.2800105312380352,0.17075256357457413
2023-11-03,0.15659783,0.30309378288073546,0.5661814407141826,0.34479030666028987,-0.2218999281724652,0.1007284334385255
2023-11-06,0.15179627,0.28493973443903503,0.53745229597411,0.3549881420532185,-0.41176443936467705,0.10025316310314197
2023-11-07,0.15064391,0.373644779741576,0.5921829290089671,0.4924180408911571,-0.15944521983123616,0.10478723672927699
2023-11-08,0.14968328,0.23858366363609046,0.47662750966194334,0.3420668132661939,0.014725914960827785,0.12127756396318248
2023-11-09,0.15164184,0.1405371102519442,0.3713719292889071,0.19591493558820883,-0.05335292373616374,0.11329860369000036
2023-11-10,0.15943363,0.19795168251701767,0.4234995911352295,0.31672516763728353,-0.2100505050453522,0.11946785884000091
2023-11-13,0.15818646,0.3491014088892767,0.5489336151533124,0.5245519479775527,-0.15241863341043488,0.08534460862719043
2023-11-14,0.16699716,0.26705651779418993,0.48419033360730374,0.4222264181705254,0.2524313197085863,0.1038649091589114
2023-11-15,0.16692014,0.17672840689412286,0.41462754287958153,0.2523683804543304,0.2634582589616358,0.07216633231655965
2023-11-16,0.15793351,0.16893536913601087,0.42530256060545224,0.1944325239202003,0.4005484368894131,0.0638146032928976
2023-11-17,0.15321656,0.2970786932416519,0.5150089945951614,0.44697321270602175,0.17619317768838338,0.07583263269013035
2023-11-20,0.14354774,0.3470121080780058,0.5716461548714009,0.4646916368613932,0.11162426193909042,0.09419446997604163
2023-11-21,0.14370567,0.25546346051820135,0.47492378251268313,0.40492121260721176,-0.3017802337276653,0.10069260343030068
2023-11-22,0.14308206,0.22164105138778747,0.4394088855708247,0.36892076258560935,-0.21503655100984265,0.09978538368290964
2023-11-24,0.12824036,0.26792729747896304,0.49025673474895876,0.41077779537949755,-0.16889219522148374,0.09344629727919158
2023-11-27,0.11675472,0.37986678191935075,0.5894620669537742,0.5162839223855411,0.03793907248156653,0.07840218172397767
2023-11-28,0.11256247,0.3393561690107861,0.5516711936816061,0.4894735576722523,0.008934795647473015,0.08115592904220106
2023-11-29,0.11111985,0.21636217075293335,0.4622762651418768,0.29521462779123336,-0.25993633054093135,0.08056399566139956
2023-11-30,0.11082076,0.2428606837503523,0.4710362080884426,0.37040502268700526,-0.016303255100737685,0.08563908294852889
2023-12-01,0.10860696,0.22625240375604577,0.47569409847497957,0.29993128389524604,-0.05606175569028771,0.08972088883553268
2023-12-04,0.09878017,0.1544287112932817,0.3927958652542759,0.20842567069808488,0.049625981455300616,0.15508751311872954
2023-12-05,0.09631324,0.19533677426156296,0.41290212070116966,0.33155888066059164,0.04624458920436858,0.15188306710858113
2023-12-06,0.09863841,0.1594159554797238,0.3684730671172244,0.28797729135256145,0.08452409145998138,0.1381481893698862
2023-12-07,0.1007693,0.08089866075682352,0.26974992684336285,0.11863035623512028,0.026816144524959867,0.12099750981026622
2023-12-08,0.1008735,0.1808405227286525,0.3816526675226106,0.34736192106695785,0.18010062184592446,0.13684356831838035
2023-12-11,0.09348559,0.2646466625539659,0.4510884373793802,0.49250068204988373,0.18450814458356604,0.167219975528989
2023-12-12,0.08192104,0.16289750719007431,0.33476801671463063,0.38289339907354614,0.08487467455557919,0.20475539738182597
2023-12-13,0.08956972,0.09338717363642134,0.24545381557265086,0.2507970635717483,0.07074357126672495,0.19973981937061394
2023-12-14,0.06868966,0.26028278307449787,0.41427420545715427,0.564910821013932,-0.009071357936746682,0.2578368021554733
2023-12-15,0.06915255,0.27961723622823786,0.4785739651627917,0.4770548544535337,0.0036184349793401682,0.3432243711999819
2023-12-18,0.0694795,0.19572677199178617,0.36297809612839504,0.45127064593096555,-0.08238645936006087,0.30783765861005774
2023-12-19,0.07035516,0.10644798977072538,0.25863684365881107,0.29232202528622053,-0.04108041620878915,0.303890460752267
2023-12-20,0.09048192,0.181535795363387,0.33744930165052045,0.454842292593617,0.17385003193123916,0.2851192415267701
2023-12-21,0.0942739,0.1827909556932635,0.34192713882748804,0.44936227070113033,0.21570335808550092,0.146149712902903
2023-12-22,0.09402616,0.13590318030198198,0.27849188278268155,0.39397230004368755,0.16339748753733235,0.13412497035073667
2023-12-26,0.09417075,0.21229597635086994,0.3496821237464981,0.5464956076020281,0.14280462516420786,0.13985936303100044
2023-12-27,0.09301206,0.1473769435170158,0.3002193687952587,0.395859965394335,0.21495250175892955,0.1399981282733603
2023-12-28,0.09314986,0.33215913878724773,0.4962871733597237,0.5991824456372763,0.013579508617934027,0.1356251249827307
2023-12-29,0.09420749,0.3046419244857745,0.47954868060813627,0.5547098871944112,0.1269315127196653,0.13765949019493898
2024-01-02,0.0978853,0.25889415885065237,0.4413151304363725,0.49618498137782974,-0.04533879310643643,0.12263064040093341
2024-01-03,0.10235732,0.21854575753358504,0.4418371408690439,0.351724239004668,-0.11527805818104139,0.18726520076926453
2024-01-04,0.10097583,0.1929270226600099,0.4043101125759547,0.3423866298902053,0.07748444250818104,0.1941905783484652
2024-01-05,0.10078076,0.2362850617921931,0.4214046679163176,0.4646136349268313,0.08387548420002688,0.19583307365260708
2024-01-08,0.10789787,0.32846220491109857,0.506697769943898,0.5634560264067661,-0.0308206231989554,0.19063722586725515
2024-01-09,0.10650113,0.18228493112387528,0.3871051890684357,0.34035667866145564,0.1996080331888744,0.17441916830293533
2024-01-10,0.10707072,0.3636569537275221,0.6184408863272145,0.40197262876230083,0.4544151280809804,0.16355309357180556
2024-01-11,0.10711658,0.3496140239511583,0.5633415133027728,0.49193892561315067,0.10421932844209786,0.16050395120899516
2024-01-12,0.10659038,0.36705798632081127,0.6090528670828781,0.4338729821444185,-0.06908375181558157,0.15851903885124566
2024-01-16,0.09827982,0.33744077543569834,0.5991760067690961,0.3713513777935985,-0.05428036688763671,0.2466822027179723
2024-01-17,0.10026476,0.27384325818471056,0.5447488369518154,0.30143841711156005,0.11740541707549462,0.15986327539634235
2024-01-18,0.10454805,0.23302431016887865,0.5029035556565603,0.26002543077457607,0.03364840520175605,0.14296940619069257
2024-01-19,0.11137356,0.21605919317684757,0.4641600066384403,0.28962453432472895,0.03023160812169523,0.1612757228418751
2024-01-22,0.11007462,0.29220985737550387,0.5563029775468419,0.3337385436806589,0.11813997735716542,0.18445104315820796
2024-01-23,0.0944218,0.3455992918930759,0.6060796572583642,0.3790489607732945,0.09864543664339265,0.3129727500283641
2024-01-24,0.0891104,0.21350297651063405,0.46615323374843914,0.27533138608626107,0.06123703378265727,0.3887556281329268
2024-01-25,0.09019992,0.1953364120476922,0.40947836358485806,0.33966204130428146,0.14611356212274734,0.4128752072094287
